	sequences per sample	iteration	IGNIMBRITE.2.NULL.5	IGNIMBRITE.1.NULL.4	LUNA.1.NULL.1	LUNA.2.NULL.2	LUNA.3.NULL.3	007SAT.A5.2.NULL.18	IGNIMBRITE.3.NULL.6	007SAT.A10.NULL.16	007SAT.A5.1.NULL.17	007SAT.C10.NULL.19
alpha_rarefaction_10_0.txt	10	0	12.0	4.0	29.0	29.0	29.0	13.0	9.0	29.0	13.0	55.0
alpha_rarefaction_10_1.txt	10	1	23.0	12.0	13.0	13.0	7.0	12.0	23.0	22.0	29.0	5.33333333333
alpha_rarefaction_10_2.txt	10	2	13.0	7.0	55.0	55.0	13.0	6.2	13.0	23.0	16.0	23.0
alpha_rarefaction_10_3.txt	10	3	3.0	12.0	8.5	12.0	23.0	12.0	23.0	7.0	29.0	23.0
alpha_rarefaction_10_4.txt	10	4	8.0	4.5	12.0	23.0	23.0	13.0	5.33333333333	13.0	29.0	23.0
alpha_rarefaction_10_5.txt	10	5	8.5	6.5	12.0	29.0	13.0	13.0	22.0	13.0	12.0	4.0
alpha_rarefaction_10_6.txt	10	6	55.0	16.0	13.0	23.0	23.0	13.0	7.0	8.5	13.0	13.0
alpha_rarefaction_10_7.txt	10	7	23.0	9.0	55.0	29.0	29.0	7.0	11.0	5.0	4.0	23.0
alpha_rarefaction_10_8.txt	10	8	23.0	11.0	13.0	23.0	29.0	13.0	4.0	12.0	55.0	11.0
alpha_rarefaction_10_9.txt	10	9	55.0	11.0	29.0	55.0	23.0	9.0	29.0	55.0	8.5	6.5
alpha_rarefaction_473_0.txt	473	0	278.235294118	329.333333333	370.8	293.0	250.789473684	144.230769231	322.8	150.75	111.0	122.571428571
alpha_rarefaction_473_1.txt	473	1	192.181818182	186.0	187.65	348.875	182.033333333	183.5	194.55	235.666666667	135.076923077	169.875
alpha_rarefaction_473_2.txt	473	2	201.315789474	265.0	330.461538462	217.142857143	217.25	112.0	189.833333333	116.769230769	128.769230769	155.153846154
alpha_rarefaction_473_3.txt	473	3	321.571428571	204.066666667	497.125	291.157894737	216.888888889	102.142857143	242.230769231	215.428571429	134.0	139.4375
alpha_rarefaction_473_4.txt	473	4	268.3125	194.076923077	303.928571429	273.588235294	266.956521739	152.545454545	217.6	152.0	142.4	155.0
alpha_rarefaction_473_5.txt	473	5	186.115384615	179.076923077	195.5	313.105263158	231.533333333	187.428571429	206.235294118	109.055555556	186.0	233.428571429
alpha_rarefaction_473_6.txt	473	6	216.882352941	249.866666667	228.428571429	270.3	283.714285714	143.363636364	176.714285714	133.0	163.090909091	197.5
alpha_rarefaction_473_7.txt	473	7	336.75	206.071428571	185.555555556	309.047619048	256.0	117.666666667	174.772727273	136.75	138.583333333	211.545454545
alpha_rarefaction_473_8.txt	473	8	296.714285714	236.272727273	273.882352941	295.0	232.0	153.75	255.928571429	222.5	134.5	224.8
alpha_rarefaction_473_9.txt	473	9	239.25	185.052631579	235.75	264.333333333	274.375	109.545454545	173.071428571	189.875	164.153846154	140.714285714
alpha_rarefaction_936_0.txt	936	0	246.153846154	280.96875	342.333333333	322.181818182	305.487179487	134.0	309.2	261.6	272.230769231	206.833333333
alpha_rarefaction_936_1.txt	936	1	361.576923077	275.076923077	362.681818182	434.193548387	329.5	150.043478261	304.454545455	192.230769231	189.6875	206.588235294
alpha_rarefaction_936_2.txt	936	2	320.5	188.441176471	478.055555556	503.454545455	405.517241379	141.9375	321.416666667	182.0	150.0	200.75
alpha_rarefaction_936_3.txt	936	3	394.545454545	286.75	341.807692308	414.757575758	386.896551724	191.769230769	271.483870968	160.894736842	166.476190476	215.434782609
alpha_rarefaction_936_4.txt	936	4	436.0	261.535714286	334.0	390.757575758	364.848484848	191.6875	247.625	156.055555556	156.315789474	233.625
alpha_rarefaction_936_5.txt	936	5	298.8125	286.5	373.25	537.375	342.433333333	172.571428571	209.8	352.125	233.375	152.607142857
alpha_rarefaction_936_6.txt	936	6	253.394736842	310.166666667	323.888888889	342.677419355	381.666666667	170.0	227.464285714	221.230769231	158.5	201.285714286
alpha_rarefaction_936_7.txt	936	7	329.538461538	302.05	393.8	367.027027027	338.193548387	141.315789474	246.7	187.5	183.384615385	244.352941176
alpha_rarefaction_936_8.txt	936	8	291.363636364	385.666666667	323.0	353.676470588	360.076923077	179.5	300.272727273	246.153846154	200.5	209.5
alpha_rarefaction_936_9.txt	936	9	245.477272727	292.565217391	326.538461538	387.5	363.137931034	180.066666667	256.7	165.894736842	142.454545455	191.136363636
alpha_rarefaction_1399_0.txt	1399	0	346.083333333	302.837837838	402.885714286	392.038461538	374.818181818	241.461538462	270.717948718	236.142857143	181.115384615	210.517241379
alpha_rarefaction_1399_1.txt	1399	1	308.534883721	303.571428571	390.2	446.522727273	391.527777778	215.666666667	299.096774194	210.882352941	195.034482759	209.1
alpha_rarefaction_1399_2.txt	1399	2	320.675675676	287.578947368	405.027777778	590.451612903	385.382978723	177.235294118	320.875	248.0	167.870967742	227.964285714
alpha_rarefaction_1399_3.txt	1399	3	378.027027027	260.073170732	390.34375	424.384615385	343.923076923	192.384615385	258.885714286	229.12	199.105263158	225.551724138
alpha_rarefaction_1399_4.txt	1399	4	411.65	401.0	364.129032258	546.0625	376.468085106	180.333333333	340.416666667	219.0	252.0	231.161290323
alpha_rarefaction_1399_5.txt	1399	5	334.941176471	356.0	535.565217391	423.024390244	495.964285714	174.473684211	352.037037037	258.071428571	158.44	206.103448276
alpha_rarefaction_1399_6.txt	1399	6	352.5	316.303030303	403.724137931	440.023255814	377.133333333	198.526315789	275.447368421	206.55	194.416666667	221.1875
alpha_rarefaction_1399_7.txt	1399	7	393.0	367.384615385	387.0	467.0	351.97826087	183.714285714	363.533333333	235.055555556	214.772727273	236.25
alpha_rarefaction_1399_8.txt	1399	8	317.3125	296.7	358.717948718	411.318181818	417.571428571	210.866666667	263.885714286	217.055555556	154.8	198.034482759
alpha_rarefaction_1399_9.txt	1399	9	332.918367347	381.222222222	387.870967742	431.0	404.526315789	216.454545455	297.6	186.526315789	221.555555556	237.774193548
alpha_rarefaction_1862_0.txt	1862	0	374.738095238	327.558139535	430.486486486	483.557692308	455.024390244	200.636363636	308.384615385	229.896551724	237.285714286	227.032258065
alpha_rarefaction_1862_1.txt	1862	1	357.018518519	374.583333333	526.857142857	499.75	383.857142857	249.066666667	269.0	209.75	228.772727273	238.483870968
alpha_rarefaction_1862_2.txt	1862	2	420.489795918	381.777777778	499.75	505.319148936	435.6875	195.0	270.0	207.034482759	187.4	264.387096774
alpha_rarefaction_1862_3.txt	1862	3	386.558139535	381.076923077	419.567567568	533.170731707	403.914893617	175.24	290.139534884	227.8	185.0	219.1875
alpha_rarefaction_1862_4.txt	1862	4	356.0	366.941176471	422.0	528.25	392.75	204.0	259.5	217.5	181.870967742	247.833333333
alpha_rarefaction_1862_5.txt	1862	5	406.076923077	372.171428571	393.666666667	440.362068966	466.642857143	185.894736842	290.021276596	205.294117647	203.416666667	242.636363636
alpha_rarefaction_1862_6.txt	1862	6	388.942307692	357.625	364.692307692	453.9	472.738095238	200.5	384.081081081	226.303030303	186.387096774	246.689655172
alpha_rarefaction_1862_7.txt	1862	7	439.75	442.322580645	356.731707317	481.0	436.56	246.230769231	297.833333333	235.260869565	239.0	232.193548387
alpha_rarefaction_1862_8.txt	1862	8	404.081081081	335.886363636	422.052631579	483.557692308	401.418181818	269.833333333	310.4	219.64	225.454545455	242.677419355
alpha_rarefaction_1862_9.txt	1862	9	449.523809524	403.885714286	465.078947368	535.782608696	386.571428571	198.217391304	322.675675676	216.791666667	217.37037037	240.078947368
alpha_rarefaction_2325_0.txt	2325	0	406.254237288	335.762711864	541.083333333	443.064516129	413.714285714	204.714285714	281.631578947	249.230769231	230.033333333	255.46875
alpha_rarefaction_2325_1.txt	2325	1	421.0	358.571428571	421.733333333	500.545454545	478.0	245.375	287.56	236.896551724	184.256410256	262.774193548
