	sequences per sample	iteration	IGNIMBRITE.2.NULL.5	IGNIMBRITE.1.NULL.4	LUNA.1.NULL.1	LUNA.2.NULL.2	LUNA.3.NULL.3	007SAT.A5.2.NULL.18	IGNIMBRITE.3.NULL.6	007SAT.A10.NULL.16	007SAT.A5.1.NULL.17	007SAT.C10.NULL.19
alpha_rarefaction_10_0.txt	10	0	7.0	4.0	8.0	8.0	8.0	8.0	6.0	8.0	8.0	10.0
alpha_rarefaction_10_1.txt	10	1	9.0	7.0	8.0	8.0	6.0	7.0	9.0	7.0	8.0	5.0
alpha_rarefaction_10_2.txt	10	2	8.0	4.0	10.0	10.0	8.0	6.0	8.0	9.0	6.0	9.0
alpha_rarefaction_10_3.txt	10	3	3.0	7.0	7.0	7.0	9.0	7.0	9.0	6.0	8.0	9.0
alpha_rarefaction_10_4.txt	10	4	5.0	4.0	7.0	9.0	9.0	8.0	5.0	8.0	8.0	9.0
alpha_rarefaction_10_5.txt	10	5	7.0	5.0	7.0	8.0	8.0	8.0	7.0	8.0	7.0	4.0
alpha_rarefaction_10_6.txt	10	6	10.0	6.0	8.0	9.0	9.0	8.0	4.0	7.0	8.0	8.0
alpha_rarefaction_10_7.txt	10	7	9.0	6.0	10.0	8.0	8.0	6.0	5.0	5.0	4.0	9.0
alpha_rarefaction_10_8.txt	10	8	9.0	5.0	8.0	9.0	8.0	8.0	4.0	7.0	10.0	5.0
alpha_rarefaction_10_9.txt	10	9	10.0	5.0	8.0	10.0	9.0	6.0	8.0	10.0	7.0	5.0
alpha_rarefaction_473_0.txt	473	0	115.0	91.0	108.0	131.0	120.0	78.0	95.0	79.0	78.0	75.0
alpha_rarefaction_473_1.txt	473	1	109.0	84.0	105.0	131.0	119.0	80.0	100.0	78.0	81.0	87.0
alpha_rarefaction_473_2.txt	473	2	105.0	88.0	117.0	115.0	131.0	77.0	98.0	71.0	83.0	79.0
alpha_rarefaction_473_3.txt	473	3	118.0	90.0	112.0	129.0	130.0	77.0	92.0	74.0	82.0	83.0
alpha_rarefaction_473_4.txt	473	4	113.0	84.0	111.0	119.0	133.0	78.0	85.0	64.0	85.0	86.0
alpha_rarefaction_473_5.txt	473	5	111.0	81.0	104.0	134.0	134.0	76.0	95.0	76.0	87.0	79.0
alpha_rarefaction_473_6.txt	473	6	102.0	98.0	102.0	124.0	137.0	76.0	98.0	70.0	81.0	87.0
alpha_rarefaction_473_7.txt	473	7	132.0	88.0	100.0	135.0	118.0	66.0	97.0	75.0	80.0	91.0
alpha_rarefaction_473_8.txt	473	8	109.0	86.0	115.0	133.0	137.0	82.0	98.0	72.0	79.0	87.0
alpha_rarefaction_473_9.txt	473	9	115.0	95.0	115.0	125.0	136.0	70.0	82.0	77.0	88.0	87.0
alpha_rarefaction_936_0.txt	936	0	161.0	153.0	144.0	184.0	191.0	99.0	149.0	102.0	122.0	115.0
alpha_rarefaction_936_1.txt	936	1	175.0	141.0	164.0	200.0	187.0	107.0	146.0	98.0	110.0	116.0
alpha_rarefaction_936_2.txt	936	2	163.0	131.0	163.0	195.0	195.0	98.0	147.0	98.0	109.0	127.0
alpha_rarefaction_936_3.txt	936	3	165.0	138.0	159.0	202.0	195.0	105.0	148.0	99.0	115.0	125.0
alpha_rarefaction_936_4.txt	936	4	177.0	140.0	169.0	199.0	193.0	112.0	132.0	96.0	111.0	133.0
alpha_rarefaction_936_5.txt	936	5	168.0	153.0	167.0	204.0	184.0	105.0	124.0	108.0	119.0	114.0
alpha_rarefaction_936_6.txt	936	6	166.0	147.0	162.0	183.0	200.0	101.0	131.0	107.0	109.0	117.0
alpha_rarefaction_936_7.txt	936	7	165.0	136.0	161.0	196.0	188.0	96.0	144.0	100.0	122.0	122.0
alpha_rarefaction_936_8.txt	936	8	170.0	148.0	162.0	190.0	181.0	106.0	138.0	110.0	121.0	118.0
alpha_rarefaction_936_9.txt	936	9	170.0	141.0	162.0	199.0	189.0	108.0	146.0	104.0	107.0	116.0
alpha_rarefaction_1399_0.txt	1399	0	203.0	177.0	209.0	243.0	231.0	123.0	177.0	134.0	134.0	141.0
alpha_rarefaction_1399_1.txt	1399	1	198.0	176.0	194.0	244.0	225.0	127.0	167.0	117.0	140.0	144.0
alpha_rarefaction_1399_2.txt	1399	2	200.0	175.0	210.0	249.0	241.0	119.0	165.0	122.0	133.0	149.0
alpha_rarefaction_1399_3.txt	1399	3	207.0	173.0	203.0	232.0	217.0	131.0	164.0	138.0	132.0	147.0
alpha_rarefaction_1399_4.txt	1399	4	221.0	183.0	188.0	242.0	237.0	115.0	166.0	126.0	140.0	151.0
alpha_rarefaction_1399_5.txt	1399	5	198.0	191.0	204.0	234.0	228.0	120.0	176.0	123.0	124.0	143.0
alpha_rarefaction_1399_6.txt	1399	6	198.0	181.0	197.0	242.0	239.0	126.0	177.0	121.0	137.0	150.0
alpha_rarefaction_1399_7.txt	1399	7	219.0	177.0	202.0	236.0	231.0	123.0	185.0	130.0	137.0	150.0
alpha_rarefaction_1399_8.txt	1399	8	210.0	172.0	205.0	238.0	227.0	119.0	169.0	122.0	122.0	143.0
alpha_rarefaction_1399_9.txt	1399	9	215.0	179.0	198.0	239.0	229.0	136.0	170.0	114.0	136.0	153.0
alpha_rarefaction_1862_0.txt	1862	0	232.0	203.0	231.0	280.0	266.0	138.0	189.0	149.0	153.0	162.0
alpha_rarefaction_1862_1.txt	1862	1	246.0	205.0	232.0	269.0	257.0	135.0	188.0	140.0	151.0	165.0
alpha_rarefaction_1862_2.txt	1862	2	252.0	206.0	253.0	277.0	269.0	142.0	187.0	146.0	146.0	170.0
alpha_rarefaction_1862_3.txt	1862	3	242.0	213.0	233.0	275.0	262.0	132.0	197.0	142.0	140.0	162.0
alpha_rarefaction_1862_4.txt	1862	4	245.0	197.0	250.0	286.0	260.0	147.0	192.0	146.0	147.0	165.0
alpha_rarefaction_1862_5.txt	1862	5	238.0	204.0	235.0	275.0	267.0	129.0	199.0	146.0	146.0	163.0
alpha_rarefaction_1862_6.txt	1862	6	247.0	205.0	222.0	273.0	270.0	133.0	210.0	151.0	150.0	161.0
alpha_rarefaction_1862_7.txt	1862	7	246.0	212.0	221.0	268.0	274.0	132.0	208.0	142.0	152.0	163.0
alpha_rarefaction_1862_8.txt	1862	8	230.0	207.0	231.0	280.0	265.0	147.0	194.0	144.0	145.0	167.0
alpha_rarefaction_1862_9.txt	1862	9	256.0	210.0	241.0	283.0	277.0	136.0	202.0	138.0	154.0	169.0
alpha_rarefaction_2325_0.txt	2325	0	277.0	236.0	263.0	295.0	303.0	144.0	216.0	159.0	167.0	180.0
alpha_rarefaction_2325_1.txt	2325	1	266.0	221.0	255.0	315.0	298.0	156.0	211.0	156.0	160.0	178.0
alpha_rarefaction_2325_2.txt	2325	2	270.0	230.0	253.0	314.0	273.0	152.0	224.0	151.0	167.0	187.0
alpha_rarefaction_2325_3.txt	2325	3	260.0	222.0	269.0	318.0	281.0	166.0	229.0	163.0	155.0	180.0
alpha_rarefaction_2325_4.txt	2325	4	280.0	225.0	251.0	330.0	295.0	154.0	218.0	157.0	166.0	182.0
