#Sample	OTU	Abundance
IGNIMBRITE.2.NULL.5	254635	4.7874
IGNIMBRITE.2.NULL.5	4482374	4.0187
IGNIMBRITE.2.NULL.5	216191	3.6331
IGNIMBRITE.2.NULL.5	4337729	2.2637
IGNIMBRITE.2.NULL.5	909173	7.0669
IGNIMBRITE.2.NULL.5	4402892	2.2637
IGNIMBRITE.2.NULL.5	809392	9.989
IGNIMBRITE.2.NULL.5	202381	3.6331
IGNIMBRITE.2.NULL.5	649518	2.2637
IGNIMBRITE.2.NULL.5	511572	3.1051
IGNIMBRITE.2.NULL.5	1106203	2.2637
IGNIMBRITE.2.NULL.5	4458424	2.2637
IGNIMBRITE.2.NULL.5	146122	2.2637
IGNIMBRITE.2.NULL.5	1143172	5.4204
IGNIMBRITE.2.NULL.5	818409	7.6067
IGNIMBRITE.2.NULL.5	4325519	5.5431
IGNIMBRITE.2.NULL.5	4371629	2.2637
IGNIMBRITE.2.NULL.5	4333705	2.2637
IGNIMBRITE.2.NULL.5	1120543	2.2637
IGNIMBRITE.2.NULL.5	554361	3.1051
IGNIMBRITE.2.NULL.5	748601	2.2637
IGNIMBRITE.2.NULL.5	203418	6.7477
IGNIMBRITE.2.NULL.5	587534	6.4034
IGNIMBRITE.2.NULL.5	926122	2.2637
IGNIMBRITE.2.NULL.5	1039041	3.6331
IGNIMBRITE.2.NULL.5	162202	3.6331
IGNIMBRITE.2.NULL.5	4469401	2.2637
IGNIMBRITE.2.NULL.5	833324	2.2637
IGNIMBRITE.2.NULL.5	4301663	3.1051
IGNIMBRITE.2.NULL.5	568698	8.7504
IGNIMBRITE.2.NULL.5	1081618	2.2637
IGNIMBRITE.2.NULL.5	831877	2.2637
IGNIMBRITE.2.NULL.5	808657	4.3228
IGNIMBRITE.2.NULL.5	401798	6.1946
IGNIMBRITE.2.NULL.5	673883	6.4034
IGNIMBRITE.2.NULL.5	263308	7.8638
IGNIMBRITE.2.NULL.5	2025460	5.8588
IGNIMBRITE.2.NULL.5	808533	5.5431
IGNIMBRITE.2.NULL.5	675211	6.1946
IGNIMBRITE.2.NULL.5	255018	2.2637
IGNIMBRITE.2.NULL.5	4482713	8.3407
IGNIMBRITE.2.NULL.5	823523	10.858
IGNIMBRITE.2.NULL.5	3077248	3.1051
IGNIMBRITE.2.NULL.5	1123837	6.2676
IGNIMBRITE.2.NULL.5	4483596	4.3228
IGNIMBRITE.2.NULL.5	828826	4.0187
IGNIMBRITE.2.NULL.5	274150	5.1383
IGNIMBRITE.2.NULL.5	4387971	3.1051
IGNIMBRITE.2.NULL.5	4452899	5.4204
IGNIMBRITE.2.NULL.5	4353338	2.2637
IGNIMBRITE.2.NULL.5	1119224	4.5737
IGNIMBRITE.2.NULL.5	4448321	3.1051
IGNIMBRITE.2.NULL.5	1061145	3.1051
IGNIMBRITE.2.NULL.5	4463047	6.9387
IGNIMBRITE.2.NULL.5	4359064	3.1051
IGNIMBRITE.2.NULL.5	4466061	4.5737
IGNIMBRITE.2.NULL.5	1119031	3.6331
IGNIMBRITE.2.NULL.5	1115272	4.0187
IGNIMBRITE.2.NULL.5	128300	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2809	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2808	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2801	4.5737
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU903	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU420	4.9735
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1654	5.5431
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2020	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2023	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2231	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2233	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2235	6.1177
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2213	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1907	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1903	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2583	5.7611
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2219	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2344	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2342	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2649	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2648	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2642	5.6562
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2768	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2769	4.5737
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2765	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2763	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2760	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU228	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU138	4.5737
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU731	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1019	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2736	5.1383
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2160	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU79	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1937	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2356	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2354	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2684	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2686	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2680	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2682	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU704	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2575	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU253	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2777	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU106	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU103	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU368	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU28	8.6853
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU662	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2549	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2781	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU111	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU116	5.6562
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU96	4.7874
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU689	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU208	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU209	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU206	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU204	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU200	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1958	4.9735
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2202	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1950	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2375	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2377	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2371	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2372	6.8463
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU0	12.192
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU119	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU112	7.6067
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU93	4.7874
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2551	4.3228
