#NodeID	NodeType	Abundance	Color	Size	Shape
007SAT.A5.2.NULL.18	sample	983.4744	Soil	sample	sample
007SAT.A10.NULL.16	sample	978.7287	Soil	sample	sample
IGNIMBRITE.3.NULL.6	sample	1118.3214	Ignimbrite	sample	sample
007SAT.A5.1.NULL.17	sample	888.1193	Soil	sample	sample
007SAT.C10.NULL.19	sample	969.8871	Soil	sample	sample
LUNA.2.NULL.2	sample	1296.1656	Calcite	sample	sample
LUNA.3.NULL.3	sample	1356.5664	Calcite	sample	sample
IGNIMBRITE.2.NULL.5	sample	1291.7401	Ignimbrite	sample	sample
LUNA.1.NULL.1	sample	1188.9102	Calcite	sample	sample
IGNIMBRITE.1.NULL.4	sample	1075.931	Ignimbrite	sample	sample
New.CleanUp.ReferenceOTU349	otu	8.2158	p__Euryarchaeota	8.2158	otu
New.CleanUp.ReferenceOTU2933	otu	5.3275	p__Chloroflexi	5.3275	otu
New.CleanUp.ReferenceOTU1628	otu	4.4775	p__Euryarchaeota	4.4775	otu
New.CleanUp.ReferenceOTU343	otu	23.4652	p__Euryarchaeota	23.4652	otu
New.CleanUp.ReferenceOTU342	otu	13.7666	p__Euryarchaeota	13.7666	otu
New.CleanUp.ReferenceOTU1624	otu	8.0308	p__Euryarchaeota	8.0308	otu
New.CleanUp.ReferenceOTU346	otu	5.6408	p__Euryarchaeota	5.6408	otu
New.CleanUp.ReferenceOTU344	otu	7.1426	p__Euryarchaeota	7.1426	otu
New.CleanUp.ReferenceOTU2809	otu	3.1051	p__Cyanobacteria	3.1051	otu
New.CleanUp.ReferenceOTU2808	otu	8.8592	p__Cyanobacteria	8.8592	otu
New.CleanUp.ReferenceOTU2802	otu	4.7089	p__Actinobacteria	4.7089	otu
New.CleanUp.ReferenceOTU2801	otu	9.4142	p__Cyanobacteria	9.4142	otu
New.CleanUp.ReferenceOTU1742	otu	5.6549	p__Euryarchaeota	5.6549	otu
New.CleanUp.ReferenceOTU4194	otu	3.4682	p__Cyanobacteria	3.4682	otu
130864	otu	5.1814	p__Firmicutes	5.1814	otu
New.CleanUp.ReferenceOTU908	otu	2.9943	p__Chloroflexi	2.9943	otu
649518	otu	17.6682	p__Cyanobacteria	17.6682	otu
New.CleanUp.ReferenceOTU907	otu	2.9943	p__Actinobacteria	2.9943	otu
New.CleanUp.ReferenceOTU1131	otu	4.7892	p__Euryarchaeota	4.7892	otu
New.CleanUp.ReferenceOTU903	otu	8.4544	NA	8.4544	otu
New.CleanUp.ReferenceOTU1135	otu	4.0678	NA	4.0678	otu
4355925	otu	9.6692	p__Actinobacteria	9.6692	otu
New.CleanUp.ReferenceOTU2020	otu	7.8089	NA	7.8089	otu
New.CleanUp.ReferenceOTU2023	otu	10.5188	p__Chloroflexi	10.5188	otu
New.CleanUp.ReferenceOTU1626	otu	5.859	p__Euryarchaeota	5.859	otu
New.CleanUp.ReferenceOTU830	otu	4.2878	NA	4.2878	otu
4335437	otu	2.9943	p__Actinobacteria	2.9943	otu
New.CleanUp.ReferenceOTU3994	otu	4.7089	NA	4.7089	otu
New.CleanUp.ReferenceOTU1623	otu	3.9245	p__Euryarchaeota	3.9245	otu
4337729	otu	4.1666	p__Chloroflexi	4.1666	otu
New.CleanUp.ReferenceOTU336	otu	6.8323	p__Euryarchaeota	6.8323	otu
New.CleanUp.ReferenceOTU2111	otu	4.7089	NA	4.7089	otu
New.CleanUp.ReferenceOTU3405	otu	4.0258	p__Chloroflexi	4.0258	otu
New.CleanUp.ReferenceOTU3589	otu	4.0258	p__Chloroflexi	4.0258	otu
New.CleanUp.ReferenceOTU2231	otu	4.485	p__Cyanobacteria	4.485	otu
New.CleanUp.ReferenceOTU2233	otu	5.6165	p__Cyanobacteria	5.6165	otu
726955	otu	3.3528	p__Actinobacteria	3.3528	otu
New.CleanUp.ReferenceOTU2235	otu	16.6664	p__Cyanobacteria	16.6664	otu
4429835	otu	5.3275	p__Actinobacteria	5.3275	otu
New.CleanUp.ReferenceOTU330	otu	10.485	p__Euryarchaeota	10.485	otu
New.CleanUp.ReferenceOTU1907	otu	6.9726	p__Cyanobacteria	6.9726	otu
New.CleanUp.ReferenceOTU1905	otu	7.4641	p__Chloroflexi	7.4641	otu
New.CleanUp.ReferenceOTU1903	otu	6.5441	NA	6.5441	otu
New.CleanUp.ReferenceOTU3373	otu	4.0258	p__Chloroflexi	4.0258	otu
New.CleanUp.ReferenceOTU2583	otu	15.8354	p__Cyanobacteria	15.8354	otu
112959	otu	2.6959	p__Bacteroidetes	2.6959	otu
New.CleanUp.ReferenceOTU1833	otu	3.7383	p__Euryarchaeota	3.7383	otu
New.CleanUp.ReferenceOTU1831	otu	3.7383	p__Euryarchaeota	3.7383	otu
810363	otu	4.2805	p__Gemmatimonadetes	4.2805	otu
1080641	otu	4.8499	p__Proteobacteria	4.8499	otu
236030	otu	24.5475	p__Euryarchaeota	24.5475	otu
New.CleanUp.ReferenceOTU2342	otu	3.6331	p__Cyanobacteria	3.6331	otu
4435518	otu	9.2361	p__Actinobacteria	9.2361	otu
112045	otu	3.5176	p__Actinobacteria	3.5176	otu
111050	otu	7.0201	p__Actinobacteria	7.0201	otu
New.CleanUp.ReferenceOTU3747	otu	2.947	p__Chloroflexi	2.947	otu
New.CleanUp.ReferenceOTU3745	otu	11.419	p__Cyanobacteria	11.419	otu
New.CleanUp.ReferenceOTU3744	otu	2.947	NA	2.947	otu
202381	otu	12.8614	p__Actinobacteria	12.8614	otu
New.CleanUp.ReferenceOTU2649	otu	3.1051	p__Cyanobacteria	3.1051	otu
New.CleanUp.ReferenceOTU3180	otu	4.8188	p__Cyanobacteria	4.8188	otu
New.CleanUp.ReferenceOTU3184	otu	5.3275	p__Chloroflexi	5.3275	otu
New.CleanUp.ReferenceOTU3186	otu	5.6429	p__Planctomycetes	5.6429	otu
511572	otu	17.1193	p__Actinobacteria	17.1193	otu
New.CleanUp.ReferenceOTU1459	otu	3.8294	p__Euryarchaeota	3.8294	otu
4449887	otu	6.3589	p__Euryarchaeota	6.3589	otu
New.CleanUp.ReferenceOTU2768	otu	10.4291	p__Cyanobacteria	10.4291	otu
New.CleanUp.ReferenceOTU2769	otu	9.3925	p__Chloroflexi	9.3925	otu
New.CleanUp.ReferenceOTU2765	otu	9.276	p__Actinobacteria	9.276	otu
New.CleanUp.ReferenceOTU2763	otu	3.6331	p__Cyanobacteria	3.6331	otu
New.CleanUp.ReferenceOTU2760	otu	5.2107	p__Cyanobacteria	5.2107	otu
New.CleanUp.ReferenceOTU1580	otu	3.0576	p__Cyanobacteria	3.0576	otu
New.CleanUp.ReferenceOTU224	otu	4.9926	p__Euryarchaeota	4.9926	otu
New.CleanUp.ReferenceOTU225	otu	3.9008	p__Planctomycetes	3.9008	otu
New.CleanUp.ReferenceOTU226	otu	8.3431	p__Gemmatimonadetes	8.3431	otu
New.CleanUp.ReferenceOTU227	otu	4.2033	p__Planctomycetes	4.2033	otu
New.CleanUp.ReferenceOTU220	otu	13.4141	p__Euryarchaeota	13.4141	otu
New.CleanUp.ReferenceOTU221	otu	6.0678	p__Euryarchaeota	6.0678	otu
New.CleanUp.ReferenceOTU222	otu	14.2	p__Euryarchaeota	14.2	otu
New.CleanUp.ReferenceOTU223	otu	13.2555	p__Euryarchaeota	13.2555	otu
New.CleanUp.ReferenceOTU1054	otu	2.9943	p__Actinobacteria	2.9943	otu
New.CleanUp.ReferenceOTU1057	otu	4.2878	p__Cyanobacteria	4.2878	otu
New.CleanUp.ReferenceOTU228	otu	10.8411	p__Chloroflexi	10.8411	otu
New.CleanUp.ReferenceOTU229	otu	6.0489	p__Euryarchaeota	6.0489	otu
New.CleanUp.ReferenceOTU1451	otu	14.3426	p__Euryarchaeota	14.3426	otu
New.CleanUp.ReferenceOTU647	otu	11.2455	p__Chloroflexi	11.2455	otu
New.CleanUp.ReferenceOTU132	otu	8.8897	p__Euryarchaeota	8.8897	otu
New.CleanUp.ReferenceOTU133	otu	9.1057	p__Cyanobacteria	9.1057	otu
New.CleanUp.ReferenceOTU134	otu	8.3669	p__Planctomycetes	8.3669	otu
New.CleanUp.ReferenceOTU135	otu	3.5176	p__Planctomycetes	3.5176	otu
New.CleanUp.ReferenceOTU1457	otu	7.2188	p__Euryarchaeota	7.2188	otu
New.CleanUp.ReferenceOTU137	otu	9.5161	p__Chloroflexi	9.5161	otu
New.CleanUp.ReferenceOTU138	otu	15.5856	p__Cyanobacteria	15.5856	otu
New.CleanUp.ReferenceOTU139	otu	9.9836	p__Cyanobacteria	9.9836	otu
New.CleanUp.ReferenceOTU272	otu	3.2064	p__Euryarchaeota	3.2064	otu
New.CleanUp.ReferenceOTU1638	otu	4.2868	p__Euryarchaeota	4.2868	otu
1119470	otu	14.2723	p__Actinobacteria	14.2723	otu
New.CleanUp.ReferenceOTU829	otu	2.9943	p__Chloroflexi	2.9943	otu
New.CleanUp.ReferenceOTU827	otu	2.9943	p__Chloroflexi	2.9943	otu
New.CleanUp.ReferenceOTU1632	otu	3.9245	p__Euryarchaeota	3.9245	otu
New.CleanUp.ReferenceOTU354	otu	6.2229	p__Euryarchaeota	6.2229	otu
New.CleanUp.ReferenceOTU355	otu	3.2064	p__Euryarchaeota	3.2064	otu
New.CleanUp.ReferenceOTU820	otu	2.9943	p__Chloroflexi	2.9943	otu
589372	otu	2.6959	p__Actinobacteria	2.6959	otu
New.CleanUp.ReferenceOTU739	otu	2.9943	p__Actinobacteria	2.9943	otu
New.CleanUp.ReferenceOTU3419	otu	4.8499	p__Chloroflexi	4.8499	otu
New.CleanUp.ReferenceOTU731	otu	7.6332	p__Actinobacteria	7.6332	otu
New.CleanUp.ReferenceOTU735	otu	5.9413	p__Chloroflexi	5.9413	otu
4341734	otu	5.6918	p__Actinobacteria	5.6918	otu
New.CleanUp.ReferenceOTU1124	otu	10.6183	p__Euryarchaeota	10.6183	otu
New.CleanUp.ReferenceOTU911	otu	5.3213	NA	5.3213	otu
New.CleanUp.ReferenceOTU1121	otu	9.8965	p__Euryarchaeota	9.8965	otu
New.CleanUp.ReferenceOTU1120	otu	5.3713	p__Proteobacteria	5.3713	otu
4458184	otu	3.9008	p__Acidobacteria	3.9008	otu
New.CleanUp.ReferenceOTU918	otu	4.0678	p__Chloroflexi	4.0678	otu
New.CleanUp.ReferenceOTU1128	otu	10.0423	p__Euryarchaeota	10.0423	otu
240137	otu	2.947	p__Actinobacteria	2.947	otu
New.CleanUp.ReferenceOTU1019	otu	6.1627	p__Actinobacteria	6.1627	otu
New.CleanUp.ReferenceOTU4039	otu	2.947	p__Actinobacteria	2.947	otu
99987	otu	3.5176	p__Actinobacteria	3.5176	otu
818409	otu	7.6067	p__Cyanobacteria	7.6067	otu
2855257	otu	3.8899	p__Actinobacteria	3.8899	otu
554361	otu	21.6549	p__Chloroflexi	21.6549	otu
New.CleanUp.ReferenceOTU2160	otu	10.0526	p__Actinobacteria	10.0526	otu
New.CleanUp.ReferenceOTU2161	otu	3.8899	p__Actinobacteria	3.8899	otu
New.CleanUp.ReferenceOTU2162	otu	3.3528	NA	3.3528	otu
New.CleanUp.ReferenceOTU2165	otu	3.3528	p__Cyanobacteria	3.3528	otu
New.CleanUp.ReferenceOTU2167	otu	3.3528	p__Cyanobacteria	3.3528	otu
New.CleanUp.ReferenceOTU76	otu	11.0391	p__Chloroflexi	11.0391	otu
New.CleanUp.ReferenceOTU179	otu	14.2483	p__Chloroflexi	14.2483	otu
New.CleanUp.ReferenceOTU1446	otu	8.1162	p__Euryarchaeota	8.1162	otu
New.CleanUp.ReferenceOTU2222	otu	3.3528	p__Cyanobacteria	3.3528	otu
New.CleanUp.ReferenceOTU2221	otu	3.3528	NA	3.3528	otu
New.CleanUp.ReferenceOTU2224	otu	3.3528	p__Chloroflexi	3.3528	otu
926122	otu	6.9162	p__Proteobacteria	6.9162	otu
New.CleanUp.ReferenceOTU1243	otu	9.2958	p__Chloroflexi	9.2958	otu
New.CleanUp.ReferenceOTU176	otu	4.8188	p__Cyanobacteria	4.8188	otu
New.CleanUp.ReferenceOTU177	otu	8.7111	NA	8.7111	otu
1032653	otu	11.8271	p__Actinobacteria	11.8271	otu
New.CleanUp.ReferenceOTU3367	otu	4.8188	p__Cyanobacteria	4.8188	otu
New.CleanUp.ReferenceOTU1931	otu	3.3528	NA	3.3528	otu
New.CleanUp.ReferenceOTU3361	otu	2.6959	p__Chloroflexi	2.6959	otu
New.CleanUp.ReferenceOTU1937	otu	8.3749	NA	8.3749	otu
New.CleanUp.ReferenceOTU1938	otu	3.0576	NA	3.0576	otu
243579	otu	4.0258	p__Actinobacteria	4.0258	otu
New.CleanUp.ReferenceOTU2596	otu	3.0576	p__Actinobacteria	3.0576	otu
4329857	otu	21.2502	p__Proteobacteria	21.2502	otu
New.CleanUp.ReferenceOTU1445	otu	4.9926	p__Euryarchaeota	4.9926	otu
New.CleanUp.ReferenceOTU513	otu	10.5262	p__Euryarchaeota	10.5262	otu
New.CleanUp.ReferenceOTU359	otu	3.2064	p__Euryarchaeota	3.2064	otu
New.CleanUp.ReferenceOTU2356	otu	3.1051	p__Chloroflexi	3.1051	otu
New.CleanUp.ReferenceOTU2354	otu	5.3264	p__Actinobacteria	5.3264	otu
New.CleanUp.ReferenceOTU2684	otu	4.7513	p__Cyanobacteria	4.7513	otu
New.CleanUp.ReferenceOTU2686	otu	3.1051	p__Planctomycetes	3.1051	otu
New.CleanUp.ReferenceOTU2680	otu	3.6331	p__Cyanobacteria	3.6331	otu
New.CleanUp.ReferenceOTU2682	otu	10.0899	p__Actinobacteria	10.0899	otu
New.CleanUp.ReferenceOTU3175	otu	2.947	p__Chloroflexi	2.947	otu
4469401	otu	25.5643	p__Proteobacteria	25.5643	otu
New.CleanUp.ReferenceOTU3170	otu	4.0258	p__Chloroflexi	4.0258	otu
New.CleanUp.ReferenceOTU1817	otu	3.7383	p__Euryarchaeota	3.7383	otu
New.CleanUp.ReferenceOTU1309	otu	8.4706	p__Euryarchaeota	8.4706	otu
New.CleanUp.ReferenceOTU1308	otu	4.9926	p__Euryarchaeota	4.9926	otu
