#NodeID	NodeType	Abundance	k	p	c	o	f
254635	otu	9.1316	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Frankiaceae
3674693	otu	4.8188	k__Bacteria	p__[Thermi]	c__Deinococci	o__Deinococcales	f__Trueperaceae
1104521	otu	12.0908	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__AKYG1722	f__
1032520	otu	6.1989	k__Bacteria	p__Acidobacteria	c__[Chloracidobacteria]	o__RB41	f__
172222	otu	2.6959	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__
130864	otu	5.1814	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae
4378646	otu	4.7089	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae
4355925	otu	9.6692	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__
4370431	otu	4.2868	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
4433511	otu	2.6959	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__
4482374	otu	28.8131	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae
537516	otu	6.1907	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__C111
828305	otu	4.0678	k__Bacteria	p__Chloroflexi	c__[Thermobacula]	o__[Thermobaculales]	f__[Thermobaculaceae]
4470065	otu	10.9843	k__Bacteria	p__[Thermi]	c__Deinococci	o__Deinococcales	f__Trueperaceae
216191	otu	3.6331	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101	f__
1111024	otu	4.8517	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__
4335437	otu	2.9943	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae
256163	otu	9.6356	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae
815453	otu	31.869	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
653788	otu	6.8992	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae
4337729	otu	4.1666	k__Bacteria	p__Chloroflexi	c__TK17	o__mle1-48	f__
806406	otu	2.9943	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae
4349733	otu	6.6728	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__
4349732	otu	7.9266	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__
4349731	otu	16.4116	k__Bacteria	p__Actinobacteria	c__Nitriliruptoria	o__Euzebyales	f__Euzebyaceae
909173	otu	12.4347	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__
982282	otu	6.1641	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101	f__
4373812	otu	40.1136	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
726955	otu	3.3528	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__
4429835	otu	5.3275	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__
4452900	otu	4.8608	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__
3505032	otu	11.0426	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae
562741	otu	7.0201	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae
818665	otu	4.8188	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae
813104	otu	37.8821	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
112959	otu	2.6959	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae
544733	otu	23.7066	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
805062	otu	3.5176	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae
810363	otu	4.2805	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__
1080641	otu	4.8499	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae
236030	otu	24.5475	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
4402892	otu	5.258	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae
809392	otu	51.0522	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae
4435518	otu	9.2361	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae
112045	otu	3.5176	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae
111050	otu	7.0201	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Conexibacteraceae
202381	otu	12.8614	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae
1106797	otu	47.193	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
