OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	taxonomy
New.CleanUp.ReferenceOTU1	344.264896992611	-7.56413295150909	0.896632640419114	-8.43615613633403	3.27944626692551e-17	8.6249436820141e-15	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__; s__
1106797	375.62436208403	-7.52492047816268	0.918347169604749	-8.19398232740386	2.52722187085528e-16	3.3232967601747e-14	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
New.CleanUp.ReferenceOTU21	123.485073162181	-6.52374730020925	0.873690031326847	-7.46688993383824	8.21123947029121e-14	7.19851993562196e-12	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
3862609	86.8415956377759	-6.1805885862336	0.857896613133417	-7.20435130715735	5.83208253243469e-13	3.83459426507581e-11	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacteriaceae; NA
4373812	125.897339707675	-6.40496605996652	0.904117927092091	-7.08421530868963	1.39834357735673e-12	7.3552872168964e-11	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Natronomonas; s__
813104	65.5906760703307	-5.8728208833046	0.851968690426233	-6.89323557226789	5.45374478920194e-12	2.39055813260018e-10	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halorhabdus; s__
New.CleanUp.ReferenceOTU19	57.8943970918506	-5.55367311791629	0.898007479700885	-6.18443971064266	6.23234258521433e-10	2.34158014273053e-08	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halorubrum; s__
809392	92.8148270837604	5.41378911470203	0.895677681201468	6.04434968999109	1.50013831769834e-09	4.93170471943329e-08	k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__
New.CleanUp.ReferenceOTU10	44.3397565028855	-5.27940971086885	0.889464337832113	-5.93549340464433	2.92963101940734e-09	8.56103286782367e-08	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacterium; s__
New.CleanUp.ReferenceOTU57	25.960582822933	-4.85018058033651	0.821797987487848	-5.90191343150281	3.59309699419276e-09	9.44984509472695e-08	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacteriaceae; NA
New.CleanUp.ReferenceOTU125	23.0888369354404	-4.71892964867567	0.816596522477288	-5.77877754654155	7.52453357461979e-09	1.79904757284091e-07	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
815453	24.811884467936	-4.76741211223693	0.832052476157111	-5.72970124943986	1.00607664515191e-08	2.20498464729128e-07	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; NA; NA
New.CleanUp.ReferenceOTU4	104.53155030473	-5.61450586791568	1.00522419195661	-5.58532704728025	2.33260825914288e-08	4.7190459396506e-07	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU24	25.2713638099348	-4.67610884209702	0.872198369645737	-5.36129051008927	8.26295085879004e-08	1.55225433990127e-06	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; NA; NA
New.CleanUp.ReferenceOTU17	28.6025890394262	-4.74138006956887	0.897761067983926	-5.28133847485327	1.28243516448776e-07	2.2485363217352e-06	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; NA; NA
New.CleanUp.ReferenceOTU31	19.2981323639502	-4.36344777310601	0.868380983233359	-5.0248080708297	5.03936253760882e-07	8.2834521711945e-06	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Natronomonas; s__
New.CleanUp.ReferenceOTU13	43.8802771608867	-4.82567263015691	0.990841607536983	-4.87027653405925	1.11442172370397e-06	1.72407596078908e-05	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Natronomonas; s__
