# Constructed from biom file
#OTU ID	IGNIMBRITE.2.NULL.5	IGNIMBRITE.1.NULL.4	LUNA.1.NULL.1	LUNA.2.NULL.2	LUNA.3.NULL.3	007SAT.A5.2.NULL.18	IGNIMBRITE.3.NULL.6	007SAT.A10.NULL.16	007SAT.A5.1.NULL.17	007SAT.C10.NULL.19
Unassigned;Other	0.0329457364341	0.0610586426532	0.175863615971	0.139158576052	0.103062821373	0.00101605364763	0.0627956989247	0.00203832042397	0.00163833708786	0.000205212394829
k__Archaea;p__Crenarchaeota	0.00021533161068	0.0	0.000224315836698	0.0	0.000670690811536	0.0	0.000645161290323	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.977850030482	0.0	0.96942519364	0.991808314561	0.990765442233
k__Bacteria;Other	0.0	0.0	0.000672947510094	0.000231160425335	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.00021533161068	0.0	0.00134589502019	0.00184928340268	0.00201207243461	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.16149870801	0.136832857457	0.0874831763122	0.142394822006	0.182204337134	0.0	0.153548387097	0.0	0.0	0.0
k__Bacteria;p__Armatimonadetes	0.000430663221361	0.0	0.00112157918349	0.00161812297735	0.0194500335345	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes	0.00689061154177	0.00329453107841	0.00515926424406	0.0039297272307	0.00469483568075	0.0	0.0131182795699	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi	0.172265288544	0.144300461234	0.148945715568	0.222145168747	0.203219315895	0.0	0.266021505376	0.0	0.000204792135982	0.0
k__Bacteria;p__Cyanobacteria	0.596037898363	0.633648144081	0.470838941229	0.363846509478	0.444444444444	0.000203210729527	0.497634408602	0.000407664084794	0.0	0.0
k__Bacteria;p__FBP	0.00129198966408	0.000878541620909	0.000448631673396	0.00115580212668	0.00201207243461	0.0	0.000860215053763	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.00021533161068	0.000439270810455	0.000448631673396	0.00046232085067	0.000670690811536	0.000812842918106	0.000215053763441	0.0	0.000614376407946	0.000205212394829
k__Bacteria;p__Gemmatimonadetes	0.00861326442722	0.00834614539864	0.00762673844773	0.0113268608414	0.00402414486922	0.0	0.00301075268817	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.00366063738157	0.00417307269932	0.00605652759085	0.00554785020804	0.0143080706461	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.0157192075797	0.00680869756205	0.00785105428443	0.0152565880721	0.0176615247038	0.0201178622231	0.00193548387097	0.0281288218508	0.0057341798075	0.00882413297763
k__Bacteria;p__[Thermi]	0.0	0.000219635405227	0.0859129654554	0.0910772075821	0.00156494522692	0.0	0.000215053763441	0.0	0.0	0.0
